id;table_id;name;display_order;created_at
a8ed95fc-2176-4a19-b8cc-c32f92234f12;c8df7618-741c-4a50-8475-fdd71eb57124;A;0;2026-04-03 09:51:19.586318+00
e44af8c2-a273-42f9-b0ba-b41eca7ad92c;c8df7618-741c-4a50-8475-fdd71eb57124;B;1;2026-04-03 09:51:19.586318+00
b91399fd-a71f-4a0d-8a8d-93ed5b564e60;c8df7618-741c-4a50-8475-fdd71eb57124;C;2;2026-04-03 09:51:19.586318+00
4f75aeb0-c444-4552-8386-e2c50c382652;c8df7618-741c-4a50-8475-fdd71eb57124;D;3;2026-04-03 09:51:19.586318+00
0552f9fd-a097-41ff-9180-9e8fb817670f;66a99480-60d2-468e-9017-28b1cb661913;A;0;2025-12-24 06:26:48.42089+00
d262e2ca-f570-4d03-8cc5-b5bc1c1e211d;66a99480-60d2-468e-9017-28b1cb661913;B;1;2025-12-24 06:26:48.42089+00
c8071aeb-7460-4244-8225-e8df8fdbbefe;c8df7618-741c-4a50-8475-fdd71eb57124;E;4;2026-04-03 09:51:19.586318+00
dc245265-3e23-403e-88a9-ac075bd6e7c3;c8df7618-741c-4a50-8475-fdd71eb57124;F;5;2026-04-03 09:51:19.586318+00
d4966f68-386e-455b-b8db-96adc3ffd608;6362436f-1982-4500-83fd-00be678ee3ed;H;7;2026-02-28 03:49:44.439419+00
5573cd06-23e9-46cc-ac9a-e5988ede857e;1ab217de-4bfd-47fc-bd67-72647e89feda;A;0;2026-03-02 03:47:56.434251+00
1d08aaa0-295e-4409-a780-8c141da4c1bb;1ab217de-4bfd-47fc-bd67-72647e89feda;B;1;2026-03-02 03:47:56.434251+00
28b5c4ff-a40a-4cdf-bfb8-598ae8da12bd;f5756beb-43d3-41b4-b74c-b85b159db0ec;A;0;2025-12-25 02:02:02.819478+00
f714956c-23ae-40da-85ad-b28291d7b1f6;f5756beb-43d3-41b4-b74c-b85b159db0ec;B;1;2025-12-25 02:02:02.819478+00
8993227e-0212-4bad-be63-662050c2849d;f5756beb-43d3-41b4-b74c-b85b159db0ec;C;2;2025-12-25 02:02:02.819478+00
e0a9090c-73b2-45c7-93f6-0e36c24017a5;f5756beb-43d3-41b4-b74c-b85b159db0ec;D;3;2025-12-25 02:02:02.819478+00
7d774ac6-1b10-44bc-ac19-2544de02904a;1013ca83-8901-4abe-9c3e-99ee11150a5d;A;0;2025-12-25 03:07:35.47989+00
5436b213-83ed-4f99-ae3b-b6664e6dc139;1013ca83-8901-4abe-9c3e-99ee11150a5d;B;1;2025-12-25 03:07:35.47989+00
12c10733-c15a-4474-b6ca-eadebcb8d374;1013ca83-8901-4abe-9c3e-99ee11150a5d;C;2;2025-12-25 03:07:35.47989+00
f0304de8-1daa-4056-b92a-c03c389fe488;d89f57ad-cea7-434e-a59b-8a96659217c6;A;0;2025-12-25 14:28:33.338548+00
8e24919a-a59c-4f87-a41d-7fa04830a60a;d89f57ad-cea7-434e-a59b-8a96659217c6;B;1;2025-12-25 14:28:33.338548+00
33f3d749-8a1e-4890-a1e8-16f63d4c458b;0e8de38b-e40b-4dda-b0d3-cee40dc348dc;A;0;2025-12-26 06:07:49.980957+00
0d34edf4-c7cb-4d6d-b0dd-8efb17b3a3f4;0e8de38b-e40b-4dda-b0d3-cee40dc348dc;B;1;2025-12-26 06:07:49.980957+00
8d6d5dad-8c45-4254-b40c-227758f32224;0e8de38b-e40b-4dda-b0d3-cee40dc348dc;C;2;2025-12-26 06:07:49.980957+00
8f9e714a-c2f9-46a0-9fc3-0c25e89303b3;0e8de38b-e40b-4dda-b0d3-cee40dc348dc;D;3;2025-12-26 06:07:49.980957+00
e2032390-f457-4320-b41b-51bf3c8e575f;4234f32a-5e44-4c79-818b-4c97b0b34c21;A;0;2025-12-26 06:30:34.807518+00
5bcfc57d-0c5a-4512-9ea5-543c8568bfc1;4234f32a-5e44-4c79-818b-4c97b0b34c21;B;1;2025-12-26 06:30:34.807518+00
88a944f1-042e-4b06-b424-537391f7e088;4234f32a-5e44-4c79-818b-4c97b0b34c21;C;2;2025-12-26 06:30:34.807518+00
ce0c4adf-c6ac-4a33-848c-04a01071bf19;da96f606-fe8f-4ce1-9cf2-8ea2edf82c71;A;0;2025-12-26 06:33:12.100801+00
84bde4e7-ed6f-4e88-b0dc-7673ebb517a4;da96f606-fe8f-4ce1-9cf2-8ea2edf82c71;B;1;2025-12-26 06:33:12.100801+00
df198299-17e3-4d4d-ba4c-017b8985c558;da96f606-fe8f-4ce1-9cf2-8ea2edf82c71;C;2;2025-12-26 06:33:12.100801+00
19e3306a-568b-4b9d-8d25-55b9140aeeae;da96f606-fe8f-4ce1-9cf2-8ea2edf82c71;D;3;2025-12-26 06:33:12.100801+00
41771a54-a006-497d-856f-67bff0b172f5;da96f606-fe8f-4ce1-9cf2-8ea2edf82c71;E;4;2025-12-26 06:33:12.100801+00
e548f5a3-92f0-4b3c-853e-8a08c1d05e3f;da96f606-fe8f-4ce1-9cf2-8ea2edf82c71;F;5;2025-12-26 06:33:12.100801+00
